#,Player ID,League,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
1,842718,Bundesliga,1. FC Union Berlin,Matheo Raab,Goalkeeper,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,17.0,15.0,53.13,8.0,9.0,1.0,0.0,0.0,11.0,42.31,1,1,90,0.0,0.0,0.0,0.0,17.0,0.0,1.0,50.0,0.0,0.0,1.0,50.0
2,1030355,Bundesliga,Hamburger SV,Sander Tangvik,Goalkeeper,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,34.0,17.0,66.67,28.0,6.0,1.0,0.0,0.0,9.0,34.62,1,1,90,0.0,0.0,0.0,1.0,17.0,0.0,1.0,100.0,1.0,100.0,0.0,0.0
3,978838,Bundesliga,FC Bayern München,Michael Olise,Midfielder,7.87,0.47,0.36,0.47,3.16,1.56,0.66,14.85,2.03,47.1,0.34,0.12,0.0,0.38,0.09,0.19,0.22,0.06,0.0,0.0,0.0,0.0,0.16,0.0,0.75,0.41,0.28,0.03,0.88,0.0,0.03,0.0,0.0,0.25,0.84,0.59,0.06,2.53,48.66,40.94,7.72,84.14,7.31,33.62,23.41,0.97,21.09,0.88,60.87,32,23,2317,0.25,0.0,1.0,1.81,17.91,0.97,4.84,46.97,4.59,47.57,0.25,38.1
4,108579,Bundesliga,FC Bayern München,Harry Kane,Forward,7.84,1.16,0.87,0.58,3.84,2.16,0.77,30.25,1.03,62.75,0.97,0.19,0.1,0.19,0.87,0.13,0.65,0.06,0.35,0.32,90.91,0.03,0.13,25.0,0.61,0.26,1.06,0.19,0.45,0.03,0.0,0.03,0.0,0.13,0.58,0.16,0.0,1.29,23.45,19.0,4.45,81.02,6.16,12.84,8.68,0.03,8.33,2.52,70.91,31,25,2382,0.03,0.0,0.81,1.03,8.32,1.03,4.06,52.72,2.68,49.11,1.39,61.43
5,1083359,Bundesliga,1. FC Heidenheim,Frank Feller,Goalkeeper,7.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.33,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67,27.67,11.0,71.55,21.33,6.33,3.0,0.0,0.0,10.33,49.21,3,3,270,0.0,0.0,0.0,0.67,11.67,0.0,1.33,66.67,1.0,60.0,0.33,100.0
6,2087085,Bundesliga,RB Leipzig,Yan Diomande,Forward,7.72,0.36,0.22,0.18,1.61,0.79,0.45,22.64,3.58,59.9,0.3,0.06,0.0,0.21,0.15,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.48,0.27,0.03,0.55,0.0,0.03,0.0,0.0,0.09,0.52,0.24,0.0,1.7,32.33,27.15,5.18,83.97,8.21,18.94,12.33,0.21,16.28,0.85,73.68,33,28,2476,0.06,0.0,0.58,1.03,13.67,1.88,5.64,47.45,5.48,50.56,0.15,14.71
7,259117,Bundesliga,FC Bayern München,Joshua Kimmich,Midfielder,7.71,0.07,0.09,0.03,0.97,0.34,0.41,7.14,0.38,61.11,0.07,0.0,0.0,0.07,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.86,0.62,0.21,0.79,0.0,0.14,0.03,0.0,0.28,0.55,0.28,0.07,2.0,91.38,84.41,6.97,92.38,31.03,53.38,25.07,0.97,23.33,5.52,71.11,29,24,2280,0.14,0.0,0.28,0.72,12.21,0.48,2.45,52.99,2.21,55.65,0.24,36.84
8,940871,Bundesliga,Borussia Dortmund,Nico Schlotterbeck,Defender,7.67,0.18,0.13,0.07,1.14,0.32,0.43,15.63,0.54,65.22,0.18,0.0,0.11,0.07,0.0,0.07,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.96,4.54,0.43,0.29,0.0,0.04,0.04,0.0,0.39,0.04,0.04,0.0,0.43,70.89,62.57,8.32,88.26,33.64,28.93,12.54,0.21,18.75,6.68,61.72,28,28,2520,0.29,0.0,1.07,0.96,11.86,0.54,5.64,61.96,3.29,61.33,2.36,62.86
9,991591,Bundesliga,SV Werder Bremen,Karl Hein,Goalkeeper,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,55.0,41.5,13.5,75.45,38.0,3.5,0.5,0.0,0.0,9.0,40.91,2,2,180,0.0,0.0,0.0,0.0,13.5,0.0,1.5,100.0,0.5,100.0,1.0,100.0
10,26768,Bundesliga,FC Bayern München,Sven Ulreich,Goalkeeper,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,18.0,20.0,47.37,15.0,3.0,0.0,0.0,0.0,5.0,20.0,1,1,90,1.0,0.0,0.0,1.0,20.0,0.0,1.0,100.0,1.0,100.0,0.0,0.0
