#,Player ID,League,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
1,842718,Bundesliga,1. FC Union Berlin,Matheo Raab,Goalkeeper,9.7,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,32,17,15,53.13,8,9,1,0,0.0,11,42.31,1,1,90,0,0,0,0,17,0,1,50.0,0,0.0,1,50.0
2,1030355,Bundesliga,Hamburger SV,Sander Tangvik,Goalkeeper,8.8,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,51,34,17,66.67,28,6,1,0,0.0,9,34.62,1,1,90,0,0,0,1,17,0,1,100.0,1,100.0,0,0.0
3,978838,Bundesliga,FC Bayern München,Michael Olise,Midfielder,7.87,15,11.46,15,101,50,21,14.85,65,47.1,11,4,0,12,3,6,7,2,0,0,0.0,0,5,0.0,24,13,9,1,28,0,1,0,0,8,27,19,2,81,1557,1310,247,84.14,234,1076,749,31,21.09,28,60.87,32,23,2317,8,0,32,58,573,31,155,46.97,147,47.57,8,38.1
4,108579,Bundesliga,FC Bayern München,Harry Kane,Forward,7.84,36,26.87,18,119,67,24,30.25,32,62.75,30,6,3,6,27,4,20,2,11,10,90.91,1,4,25.0,19,8,33,6,14,1,0,1,0,4,18,5,0,40,727,589,138,81.02,191,398,269,1,8.33,78,70.91,31,25,2382,1,0,25,32,258,32,126,52.72,83,49.11,43,61.43
5,1083359,Bundesliga,1. FC Heidenheim,Frank Feller,Goalkeeper,7.77,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,116,83,33,71.55,64,19,9,0,0.0,31,49.21,3,3,270,0,0,0,2,35,0,4,66.67,3,60.0,1,100.0
6,2087085,Bundesliga,RB Leipzig,Yan Diomande,Forward,7.72,12,7.14,6,53,26,15,22.64,118,59.9,10,2,0,7,5,0,7,0,0,0,0.0,0,0,0.0,29,16,9,1,18,0,1,0,0,3,17,8,0,56,1067,896,171,83.97,271,625,407,7,16.28,28,73.68,33,28,2476,2,0,19,34,451,62,186,47.45,181,50.56,5,14.71
7,259117,Bundesliga,FC Bayern München,Joshua Kimmich,Midfielder,7.71,2,2.65,1,28,10,12,7.14,11,61.11,2,0,0,2,0,3,0,0,0,0,0.0,0,0,0.0,32,25,18,6,23,0,4,1,0,8,16,8,2,58,2650,2448,202,92.38,900,1548,727,28,23.33,160,71.11,29,24,2280,4,0,8,21,354,14,71,52.99,64,55.65,7,36.84
8,940871,Bundesliga,Borussia Dortmund,Nico Schlotterbeck,Defender,7.67,5,3.72,2,32,9,12,15.63,15,65.22,5,0,3,2,0,2,1,1,0,0,0.0,0,0,0.0,50,27,127,12,8,0,1,1,0,11,1,1,0,12,1985,1752,233,88.26,942,810,351,6,18.75,187,61.72,28,28,2520,8,0,30,27,332,15,158,61.96,92,61.33,66,62.86
9,991591,Bundesliga,SV Werder Bremen,Karl Hein,Goalkeeper,7.6,0,0.0,0,0,0,0,0.0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,110,83,27,75.45,76,7,1,0,0.0,18,40.91,2,2,180,0,0,0,0,27,0,3,100.0,1,100.0,2,100.0
10,26768,Bundesliga,FC Bayern München,Sven Ulreich,Goalkeeper,7.6,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,18,20,47.37,15,3,0,0,0.0,5,20.0,1,1,90,1,0,0,1,20,0,1,100.0,1,100.0,0,0.0
11,826205,Bundesliga,VfB Stuttgart,Dan Zagadou,Defender,7.53,0,0.34,0,6,1,4,0.0,1,100.0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,5,5,17,5,2,0,0,0,0,0,0,0,0,1,213,184,29,86.38,96,88,21,0,0.0,4,22.22,3,3,210,0,0,5,1,31,1,24,66.67,7,46.67,17,80.95
12,1568521,Bundesliga,SV Werder Bremen,Mick Schmetgens,Defender,7.5,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,5,2,0,0,0,0,0,0,0,0,0,0,40,36,4,90.0,20,16,1,1,50.0,0,0.0,2,0,36,0,0,0,0,5,0,3,75.0,1,100.0,2,66.67
13,1386651,Bundesliga,1. FC Heidenheim,Leo Scienza,Midfielder,7.45,1,0.13,0,4,1,1,25.0,3,33.33,0,1,0,0,1,0,0,0,0,0,0.0,1,1,100.0,2,0,0,0,2,0,0,0,0,0,3,0,0,3,37,28,9,75.68,16,12,9,2,15.38,1,50.0,2,2,180,0,0,1,7,35,2,12,48.0,12,52.17,0,0.0
14,796047,Bundesliga,Bayer 04 Leverkusen,Aleix García,Midfielder,7.45,3,2.29,1,30,5,14,10.0,4,28.57,3,0,0,2,1,0,2,0,0,0,0.0,0,6,0.0,26,23,31,5,18,0,6,0,0,5,15,8,1,51,3035,2819,216,92.88,1256,1563,679,38,30.89,176,75.21,33,31,2676,6,0,8,19,338,5,58,53.21,48,53.93,10,50.0
15,327755,Bundesliga,1. FSV Mainz 05,Nadiem Amiri,Midfielder,7.43,12,10.4,4,55,23,11,21.82,25,51.02,12,0,0,1,11,2,3,1,8,8,100.0,0,5,0.0,31,22,9,3,13,0,0,0,0,1,16,2,0,63,1111,903,208,81.28,332,571,364,45,32.61,64,48.85,26,24,2090,6,0,20,26,415,26,94,50.27,82,50.0,12,52.17
