#,Player ID,League,Season,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
1,99516,La Liga,24/25,Osasuna,Aitor Fernández,Goalkeeper,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,25.0,16.0,60.98,12.0,13.0,3.0,0.0,0.0,19.0,54.29,1,1,90,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1131909,La Liga,24/25,Mallorca,Leo Román,Goalkeeper,7.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,31.71,17.0,14.71,53.6,11.29,5.71,1.57,0.0,0.0,9.0,38.41,7,7,630,0.0,0.0,0.0,0.14,14.71,0.0,0.29,100.0,0.14,100.0,0.14,100.0
3,831005,La Liga,24/25,FC Barcelona,Raphinha,Midfielder,7.8,0.57,0.61,0.63,3.61,1.36,1.39,15.79,1.65,54.17,0.51,0.06,0.03,0.41,0.13,0.16,0.32,0.06,0.06,0.06,100.0,0.0,0.57,0.0,1.14,0.35,0.7,0,0.63,0.0,0.0,0.0,0.0,0.22,0.82,0.28,0.03,2.91,39.59,31.46,8.13,79.46,6.61,26.52,16.17,1.68,24.65,1.46,58.97,36,32,2844,0.13,0.0,0.35,1.17,17.82,0.92,4.24,55.14,3.96,54.82,0.28,60.0
4,1402912,La Liga,24/25,FC Barcelona,Lamine Yamal,Midfielder,7.79,0.28,0.31,0.44,4.53,1.48,1.6,6.25,5.06,55.71,0.13,0.16,0.0,0.25,0.03,0.16,0.41,0.06,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.5,0.09,0,0.69,0.0,0.0,0.0,0.0,0.31,0.88,0.41,0.03,2.04,44.48,35.11,9.37,78.93,4.97,30.83,19.91,0.69,20.37,0.94,48.39,35,31,2861,0.09,0.0,0.94,1.89,21.74,1.54,8.3,53.44,8.27,53.67,0.03,25.0
5,826643,La Liga,24/25,Real Madrid,Kylian Mbappé,Forward,7.7,0.96,0.8,0.9,4.97,2.62,1.14,19.25,2.56,47.7,0.8,0.15,0.0,0.12,0.83,0.12,1.36,0.09,0.28,0.22,77.78,0.03,0.09,33.33,0.25,0.03,0.0,0,0.12,0.03,0.0,0.0,0.0,0.15,0.46,0.09,0.03,1.61,33.78,28.81,4.97,85.28,4.29,24.7,17.69,0.19,17.14,1.39,78.95,34,34,2915,0.09,0.03,0.77,1.23,13.4,1.51,4.17,43.97,4.04,44.11,0.12,40.0
6,1119678,La Liga,24/25,Real Betis,Sergio Arribas,Defender,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,28.0,13.0,68.29,21.0,7.0,1.0,0.0,0.0,0.0,0.0,1,1,90,0.0,0.0,0.0,0.0,17.0,0.0,8.0,88.89,7.0,87.5,1.0,100.0
7,1094782,La Liga,24/25,Real Sociedad,Unai Marrero,Goalkeeper,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,17.5,5.0,77.78,16.0,1.5,0.0,0.0,0.0,4.5,50.0,2,2,180,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,992587,La Liga,24/25,FC Barcelona,Pedri,Midfielder,7.59,0.12,0.07,0.06,0.78,0.34,0.25,16.0,1.24,66.67,0.09,0.03,0.0,0.06,0.06,0.03,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.81,0.37,0,1.43,0.0,0.03,0.0,0.0,0.19,0.44,0.16,0.0,2.18,83.15,74.04,9.12,89.03,20.88,53.46,28.57,0.31,17.24,4.51,70.05,37,35,2892,0.09,0.0,0.31,1.59,13.97,1.09,4.95,57.82,4.73,58.02,0.22,53.85
9,103417,La Liga,24/25,Real Betis,Isco,Midfielder,7.54,0.52,0.5,0.17,2.55,0.87,0.46,20.45,1.57,49.09,0.52,0.0,0.06,0.0,0.46,0.0,0.23,0.0,0.35,0.29,83.33,0.0,0.23,0.0,1.16,0.64,0.35,0,1.22,0.0,0.0,0.0,0.0,0.12,0.29,0.46,0.0,3.54,62.26,53.68,8.59,86.21,14.16,41.08,26.29,1.57,29.35,3.95,71.58,22,17,1551,0.29,0.0,1.33,2.55,18.97,1.57,6.03,46.85,5.28,48.66,0.75,37.14
10,910031,La Liga,24/25,Villarreal,Alex Baena,Midfielder,7.48,0.24,0.25,0.21,2.42,0.62,1.07,10.0,0.73,43.75,0.24,0.0,0.0,0.1,0.14,0.07,0.17,0.0,0.03,0.0,0.0,0.0,0.28,0.0,0.97,0.76,0.48,0,1.0,0.0,0.07,0.0,0.0,0.17,0.73,0.31,0.1,3.39,36.08,26.7,9.37,74.02,7.99,21.1,12.14,2.39,33.33,2.42,56.45,32,30,2602,0.31,0.0,1.49,1.63,18.4,1.11,3.87,43.08,3.29,42.6,0.59,45.95
