#,Player ID,League,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
1,1402912,La Liga,FC Barcelona,Lamine Yamal,Midfielder,7.93,0.63,0.51,0.28,4.64,1.47,1.9,13.68,5.28,54.73,0.56,0.08,0.0,0.56,0.08,0.16,0.56,0.08,0.16,0.12,75.0,0.0,0.16,0.0,1.39,0.4,0.12,0.0,0.44,0.0,0.0,0.0,0.0,0.24,1.03,0.44,0.04,2.9,53.53,43.41,10.12,81.1,8.53,34.88,22.58,0.91,28.05,1.27,47.06,28,26,2268,0.04,0.0,1.11,2.06,22.58,1.59,8.73,53.14,8.73,53.79,0.0,0.0
2,1085579,La Liga,Levante UD,Pablo Cuñat,Goalkeeper,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,14.5,14.0,50.88,10.0,4.5,1.5,0.0,0.0,7.5,35.71,2,2,180,0.0,0.0,0.0,0.0,14.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0
3,1464652,La Liga,FC Barcelona,Álvaro Cortés,Defender,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,87.0,5.0,94.57,50.0,37.0,9.0,0.0,0.0,5.0,62.5,1,1,90,0.0,0.0,0.0,1.0,7.0,1.0,7.0,53.85,3.0,75.0,4.0,44.44
4,99516,La Liga,Osasuna,Aitor Fernández,Goalkeeper,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,20.51,13.24,60.78,13.24,7.28,0.66,0.0,0.0,10.59,44.44,2,1,136,1.32,0.0,0.0,0.0,13.24,0.0,0.66,100.0,0.66,100.0,0.0,0.0
5,992587,La Liga,FC Barcelona,Pedri,Midfielder,7.56,0.09,0.07,0.17,0.9,0.43,0.26,9.52,1.58,67.27,0.04,0.04,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,1.03,0.98,0.09,1.32,0.0,0.04,0.0,0.0,0.17,0.34,0.38,0.04,2.73,87.78,80.39,7.39,91.58,25.76,54.63,28.36,0.21,38.46,4.02,68.61,29,23,2107,0.0,0.04,0.38,1.84,11.36,1.24,5.98,61.14,5.55,59.91,0.43,83.33
6,826643,La Liga,Real Madrid,Kylian Mbappé,Forward,7.54,0.86,0.85,0.72,5.05,2.18,1.58,17.02,2.76,52.38,0.68,0.18,0.0,0.07,0.79,0.11,1.22,0.14,0.32,0.29,88.89,0.0,0.21,0.0,0.14,0.07,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.29,0.29,0.18,0.0,2.33,34.33,29.79,4.55,86.76,4.94,24.84,17.72,0.21,22.22,1.15,80.0,30,28,2514,0.14,0.0,0.47,1.22,11.99,1.47,4.37,48.22,4.12,47.33,0.25,70.0
7,831005,La Liga,FC Barcelona,Raphinha,Midfielder,7.51,0.84,0.67,0.39,4.21,1.56,1.62,20.0,1.36,51.22,0.65,0.19,0.06,0.65,0.13,0.32,0.26,0.06,0.19,0.19,100.0,0.06,0.26,25.0,0.97,0.32,0.71,0.06,0.91,0.0,0.0,0.0,0.0,0.19,0.71,0.19,0.13,2.79,41.43,33.65,7.78,81.22,8.36,25.29,16.15,1.23,25.68,1.75,57.45,22,18,1388,0.32,0.0,0.65,0.65,16.08,0.84,3.18,44.95,2.98,45.1,0.19,42.86
9,868812,La Liga,Real Madrid,Vinicius Júnior,Forward,7.5,0.51,0.43,0.41,3.22,1.47,0.92,15.84,2.77,44.62,0.45,0.06,0.0,0.06,0.45,0.13,0.41,0.13,0.16,0.13,80.0,0.0,0.0,0.0,0.92,0.06,0.03,0.0,0.41,0.0,0.03,0.0,0.0,0.13,0.22,0.16,0.0,2.23,35.97,29.92,6.05,83.17,4.05,25.87,17.68,0.29,14.75,1.21,64.41,36,32,2825,0.25,0.0,1.21,2.58,16.28,1.4,6.28,48.88,6.28,49.62,0.0,0.0
10,965832,La Liga,Rayo Vallecano,Dani Cárdenas,Goalkeeper,7.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,31.0,20.33,10.67,65.59,16.0,4.33,1.33,0.0,0.0,7.67,41.82,3,3,270,0.0,0.0,0.0,0.0,11.33,0.0,0.33,100.0,0.33,100.0,0.0,0.0
11,556884,La Liga,Elche,Matías Dituro,Goalkeeper,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.1,0.0,0.24,0.05,0.14,0.0,0.0,0.19,0.0,0.0,0.05,0.14,53.67,40.86,12.81,76.13,32.38,8.48,2.52,0.0,0.0,12.52,50.87,21,21,1890,0.05,0.0,0.0,0.33,13.1,0.0,0.86,78.26,0.29,54.55,0.57,100.0
