#,Player ID,League,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
1,1402912,La Liga,FC Barcelona,Lamine Yamal,Midfielder,7.93,0.57,0.46,0.25,4.18,1.32,1.71,13.68,4.75,54.73,0.5,0.07,0.0,0.5,0.07,0.14,0.5,0.07,0.14,0.11,75.0,0.0,0.14,0.0,1.25,0.36,0.11,0.0,0.39,0.0,0.0,0.0,0.0,0.21,0.93,0.39,0.04,2.61,48.18,39.07,9.11,81.1,7.68,31.39,20.32,0.82,28.05,1.14,47.06,28,26,2268,0.04,0.0,1.0,1.86,20.32,1.43,7.86,53.14,7.86,53.79,0.0,0.0
2,1085579,La Liga,Levante UD,Pablo Cuñat,Goalkeeper,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,14.5,14.0,50.88,10.0,4.5,1.5,0.0,0.0,7.5,35.71,2,2,180,0.0,0.0,0.0,0.0,14.0,0.0,1.0,100.0,0.0,0.0,1.0,100.0
3,1464652,La Liga,FC Barcelona,Álvaro Cortés,Defender,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,87.0,5.0,94.57,50.0,37.0,9.0,0.0,0.0,5.0,62.5,1,1,90,0.0,0.0,0.0,1.0,7.0,1.0,7.0,53.85,3.0,75.0,4.0,44.44
4,99516,La Liga,Osasuna,Aitor Fernández,Goalkeeper,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,15.5,10.0,60.78,10.0,5.5,0.5,0.0,0.0,8.0,44.44,2,1,136,1.0,0.0,0.0,0.0,10.0,0.0,0.5,100.0,0.5,100.0,0.0,0.0
5,992587,La Liga,FC Barcelona,Pedri,Midfielder,7.56,0.07,0.05,0.14,0.72,0.34,0.21,9.52,1.28,67.27,0.03,0.03,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.83,0.79,0.07,1.07,0.0,0.03,0.0,0.0,0.14,0.28,0.31,0.03,2.21,70.86,64.9,5.97,91.58,20.79,44.1,22.9,0.17,38.46,3.24,68.61,29,23,2107,0.0,0.03,0.31,1.48,9.17,1.0,4.83,61.14,4.48,59.91,0.34,83.33
6,826643,La Liga,Real Madrid,Kylian Mbappé,Forward,7.54,0.8,0.79,0.67,4.7,2.03,1.47,17.02,2.57,52.38,0.63,0.17,0.0,0.07,0.73,0.1,1.13,0.13,0.3,0.27,88.89,0.0,0.2,0.0,0.13,0.07,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.27,0.27,0.17,0.0,2.17,31.97,27.73,4.23,86.76,4.6,23.13,16.5,0.2,22.22,1.07,80.0,30,28,2514,0.13,0.0,0.43,1.13,11.17,1.37,4.07,48.22,3.83,47.33,0.23,70.0
7,831005,La Liga,FC Barcelona,Raphinha,Midfielder,7.51,0.59,0.47,0.27,2.95,1.09,1.14,20.0,0.95,51.22,0.45,0.14,0.05,0.45,0.09,0.23,0.18,0.05,0.14,0.14,100.0,0.05,0.18,25.0,0.68,0.23,0.5,0.05,0.64,0.0,0.0,0.0,0.0,0.14,0.5,0.14,0.09,1.95,29.05,23.59,5.45,81.22,5.86,17.73,11.32,0.86,25.68,1.23,57.45,22,18,1388,0.23,0.0,0.45,0.45,11.27,0.59,2.23,44.95,2.09,45.1,0.14,42.86
8,1544428,La Liga,Atlético Madrid,Iker Luque,Midfielder,7.5,1.0,0.4,1.0,3.0,2.0,1.0,33.33,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,85.71,1.0,5.0,3.0,0.0,0.0,0.0,0.0,1,0,27,0.0,0.0,2.0,0.0,4.0,1.0,2.0,33.33,1.0,25.0,1.0,50.0
9,868812,La Liga,Real Madrid,Vinicius Júnior,Forward,7.5,0.44,0.38,0.36,2.81,1.28,0.81,15.84,2.42,44.62,0.39,0.06,0.0,0.06,0.39,0.11,0.36,0.11,0.14,0.11,80.0,0.0,0.0,0.0,0.81,0.06,0.03,0.0,0.36,0.0,0.03,0.0,0.0,0.11,0.19,0.14,0.0,1.94,31.36,26.08,5.28,83.17,3.53,22.56,15.42,0.25,14.75,1.06,64.41,36,32,2825,0.22,0.0,1.06,2.25,14.19,1.22,5.47,48.88,5.47,49.62,0.0,0.0
10,965832,La Liga,Rayo Vallecano,Dani Cárdenas,Goalkeeper,7.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,31.0,20.33,10.67,65.59,16.0,4.33,1.33,0.0,0.0,7.67,41.82,3,3,270,0.0,0.0,0.0,0.0,11.33,0.0,0.33,100.0,0.33,100.0,0.0,0.0
