#,Player ID,League,Season,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
1,123226,Ligue 1,25/26,RC Lens,Mathieu Gorgelin,Goalkeeper,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,24.0,10.0,70.59,20.0,4.0,0.0,0.0,0.0,6.0,37.5,1,1,90,0.0,0.0,0.0,0.0,10.0,0.0,2.0,100.0,0.0,0.0,2.0,100.0
2,599192,Ligue 1,25/26,Le Havre,Lionel Mpasi Nzau,Goalkeeper,7.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,42.57,29.43,13.14,69.13,23.43,6.0,1.14,0.0,0.0,8.86,40.26,4,3,315,0.57,0.0,0.0,0.29,13.14,0.0,0.57,100.0,0.0,0.0,0.57,100.0
3,2165037,Ligue 1,25/26,RC Lens,Mezian Mesloub,Forward,7.7,8.18,1.31,0.0,8.18,8.18,0.0,100.0,0.0,0.0,8.18,0.0,0.0,8.18,0.0,0.0,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,0.0,0.0,8.18,32.73,24.55,8.18,75.0,16.36,8.18,8.18,0.0,0.0,8.18,100.0,1,0,11,0.0,0.0,0.0,0.0,24.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,788180,Ligue 1,25/26,Olympique Lyonnais,Rémy Descamps,Goalkeeper,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,27.0,20.0,7.0,74.07,19.2,0.8,0.2,0.0,0.0,3.2,34.04,5,5,450,0.0,0.0,0.0,0.0,7.4,0.0,0.2,50.0,0.2,50.0,0.0,0.0
5,902029,Ligue 1,25/26,Paris Saint-Germain,Vitinha,Midfielder,7.58,0.04,0.04,0.0,1.44,0.42,0.59,2.94,0.55,72.22,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,1.02,1.15,0.93,0.21,0.59,0.0,0.08,0.0,0.0,0.42,0.34,0.3,0.0,1.44,116.39,109.14,7.26,93.77,45.62,63.52,26.69,0.3,31.82,7.38,75.32,29,24,2121,0.08,0.0,0.59,0.89,9.63,0.42,2.63,59.05,2.46,59.18,0.17,57.14
6,963298,Ligue 1,25/26,RC Strasbourg,Dilane Bakwa,Midfielder,7.53,0.86,0.13,0.0,1.71,0.86,0.0,50.0,4.29,55.56,0.86,0.0,0.0,0.86,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.86,0.86,0.0,0.86,0.0,0.0,0.0,0.0,0.0,1.71,1.71,0.0,2.57,36.0,31.71,4.29,88.1,7.71,24.0,13.71,1.71,28.57,1.71,66.67,3,0,105,0.0,0.0,0.0,3.43,16.29,0.86,8.57,62.5,8.57,62.5,0.0,0.0
7,818244,Ligue 1,25/26,Paris Saint-Germain,Ousmane Dembélé,Forward,7.42,0.85,0.56,0.34,3.81,1.53,1.69,22.22,2.03,61.54,0.76,0.08,0.08,0.34,0.42,0.08,0.68,0.0,0.25,0.17,66.67,0.0,0.08,0.0,0.51,0.0,0.25,0.0,0.25,0.0,0.08,0.0,0.0,0.0,0.76,0.59,0.0,3.47,63.14,52.46,10.68,83.09,9.66,42.8,28.14,1.02,24.49,2.54,78.95,22,11,1062,0.0,0.0,0.25,0.34,17.37,1.02,3.05,49.32,2.88,50.75,0.17,33.33
8,1049442,Ligue 1,25/26,Paris FC,Ilan Kebbal,Midfielder,7.39,0.36,0.26,0.16,2.02,0.81,0.85,18.0,1.29,45.07,0.28,0.08,0.0,0.28,0.08,0.04,0.12,0.04,0.16,0.12,75.0,0.0,0.0,0.0,1.29,0.32,0.28,0.0,0.77,0.0,0.0,0.0,0.0,0.08,0.28,0.16,0.04,2.46,57.74,49.7,8.03,86.08,19.18,30.52,16.51,0.85,19.09,3.19,72.48,29,26,2229,0.28,0.0,0.61,2.46,17.24,1.86,5.09,48.84,5.01,51.24,0.08,12.5
9,942116,Ligue 1,25/26,Olympique de Marseille,Mason Greenwood,Forward,7.37,0.58,0.52,0.15,4.19,1.75,1.39,13.91,1.97,51.43,0.47,0.11,0.0,0.18,0.4,0.11,0.04,0.04,0.29,0.22,75.0,0.0,0.29,0.0,0.55,0.15,0.11,0.04,0.66,0.0,0.0,0.0,0.0,0.11,0.47,0.26,0.07,2.22,45.6,37.25,8.35,81.69,10.1,27.16,16.04,1.02,25.45,2.81,65.25,32,29,2469,0.15,0.0,0.8,1.24,16.95,0.98,3.83,45.85,3.75,46.82,0.07,22.22
10,156236,Ligue 1,25/26,Nantes,Patrik Carlgren,Goalkeeper,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,29.2,13.4,15.8,45.9,10.05,3.35,1.44,0.0,0.0,4.79,23.26,3,2,188,0.0,0.0,0.0,0.48,15.8,0.0,0.96,100.0,0.48,100.0,0.48,100.0
