#,Player ID,League,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
1,123226,Ligue 1,RC Lens,Mathieu Gorgelin,Goalkeeper,8.3,0,,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,4,0.0,0,0,0,0,0,1,0,0,0,0,34,24,10,70.59,20,4,0,0,0.0,6,37.5,1,1,90,0,0,0,0,10,0,2,100.0,0,0.0,2,100.0
2,599192,Ligue 1,Le Havre,Lionel Mpasi Nzau,Goalkeeper,7.83,0,,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,5,0.0,0,0,0,0,0,1,0,0,0,0,149,103,46,69.13,82,21,4,0,0.0,31,40.26,4,3,315,2,0,0,1,46,0,2,100.0,0,0.0,2,100.0
3,2165037,Ligue 1,RC Lens,Mezian Mesloub,Forward,7.7,1,0.16,0,1,1,0,100.0,0,0.0,1,0,0,1,0,0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,4,3,1,75.0,2,1,1,0,0.0,1,100.0,1,0,11,0,0,0,0,3,0,0,0.0,0,0.0,0,0.0
4,788180,Ligue 1,Olympique Lyonnais,Rémy Descamps,Goalkeeper,7.66,0,,0,0,0,0,0.0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,3,0.0,1,0,0,0,1,4,0,0,0,0,135,100,35,74.07,96,4,1,0,0.0,16,34.04,5,5,450,0,0,0,0,37,0,1,50.0,1,50.0,0,0.0
5,902029,Ligue 1,Paris Saint-Germain,Vitinha,Midfielder,7.58,1,1.06,0,34,10,14,2.94,13,72.22,0,1,0,0,1,0,0,0,0,0,0.0,0,3,0.0,24,27,22,5.0,14,0,2,0,0,10,8,7,0,34,2743,2572,171,93.77,1075,1497,629,7,31.82,174,75.32,29,24,2121,2,0,14,21,227,10,62,59.05,58,59.18,4,57.14
6,963298,Ligue 1,RC Strasbourg,Dilane Bakwa,Midfielder,7.53,1,0.15,0,2,1,0,50.0,5,55.56,1,0,0,1,0,0,0,1,0,0,0.0,0,0,0.0,1,1,1,0.0,1,0,0,0,0,0,2,2,0,3,42,37,5,88.1,9,28,16,2,28.57,2,66.67,3,0,105,0,0,0,4,19,1,10,62.5,10,62.5,0,0.0
7,818244,Ligue 1,Paris Saint-Germain,Ousmane Dembélé,Forward,7.42,10,6.6,4,45,18,20,22.22,24,61.54,9,1,1,4,5,1,8,0,3,2,66.67,0,1,0.0,6,0,3,0.0,3,0,1,0,0,0,9,7,0,41,745,619,126,83.09,114,505,332,12,24.49,30,78.95,22,11,1062,0,0,3,4,205,12,36,49.32,34,50.75,2,33.33
8,1049442,Ligue 1,Paris FC,Ilan Kebbal,Midfielder,7.39,9,6.55,4,50,20,21,18.0,32,45.07,7,2,0,7,2,1,3,1,4,3,75.0,0,0,0.0,32,8,7,0.0,19,0,0,0,0,2,7,4,1,61,1430,1231,199,86.08,475,756,409,21,19.09,79,72.48,29,26,2229,7,0,15,61,427,46,126,48.84,124,51.24,2,12.5
9,942116,Ligue 1,Olympique de Marseille,Mason Greenwood,Forward,7.37,16,14.39,4,115,48,38,13.91,54,51.43,13,3,0,5,11,3,1,1,8,6,75.0,0,8,0.0,15,4,3,1.0,18,0,0,0,0,3,13,7,2,61,1251,1022,229,81.69,277,745,440,28,25.45,77,65.25,32,29,2469,4,0,22,34,465,27,105,45.85,103,46.82,2,22.22
10,156236,Ligue 1,Nantes,Patrik Carlgren,Goalkeeper,7.37,0,,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,6,0.0,0,0,0,0,0,1,0,0,0,0,61,28,33,45.9,21,7,3,0,0.0,10,23.26,3,2,188,0,0,0,1,33,0,2,100.0,1,100.0,1,100.0
