#,Player ID,League,Season,Team,Name,Position,Sofascore Rating,Goals,xG,Big chances missed,Total shots,Shots on target,Shots off target,Goal conversion %,Succ. dribbles,Succ. dribbles %,Goals inside box,Goals outside box,Headed goals,Left-footed goals,Right-footed goals,Hit woodwork,Offsides,Penalties won,Penalties taken,Penalty goals,Penalty conversion %,Free kick goals,Shots from set piece,Set piece conv. %,Tackles,Interceptions,Clearances,Blocked shots,Dribbled past,Errors leading to goal,Errors leading to shot,Penalties committed,Own goals,Clean sheets,Big chances created,Assists,Passes to assist,Key passes,Total passes,Accurate passes,Inaccurate passes,Accurate passes %,Passes in own half,Passes in opp. half,Acc. final third passes,Accurate crosses,Accurate crosses %,Accurate long balls,Accurate long balls %,Appearances,Started,Minutes played,Yellow cards,Red cards,Fouls,Was fouled,Possession lost,Dispossessed,Total duels won,Total duels won %,Ground duels won,Ground duels won %,Aerial duels won,Aerial duels won %
1,84844,Premier League,24/25,Arsenal,Neto,Goalkeeper,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,16.5,10.5,61.11,12.0,4.5,1.5,0.0,0.0,5.5,34.38,2,2,180,0.0,0.0,0.0,1.0,11.0,0.0,1.0,100.0,1.0,100.0,0.0,0.0
2,159665,Premier League,24/25,Liverpool FC,Mohamed Salah,Midfielder,7.78,0.77,0.68,0.64,3.46,1.63,1.15,22.31,1.55,44.62,0.77,0.0,0.0,0.69,0.08,0.16,0.48,0.0,0.24,0.24,100.0,0.0,0.03,0.0,0.56,0.24,0.13,0,0.24,0.0,0.0,0.0,0.0,0.21,0.72,0.48,0.05,2.43,30.78,22.73,8.05,73.85,4.85,18.34,12.55,0.45,21.52,0.72,51.92,38,38,3377,0.03,0.0,0.67,1.04,16.87,1.79,3.38,40.71,3.14,40.83,0.24,39.13
3,982780,Premier League,24/25,Chelsea,Cole Palmer,Midfielder,7.63,0.42,0.49,0.39,3.55,1.44,0.99,11.9,1.44,52.58,0.31,0.11,0.0,0.42,0.0,0.17,0.2,0.03,0.14,0.11,80.0,0.03,0.34,8.33,0.96,0.31,0.54,0,0.42,0.03,0.0,0.0,0.0,0.14,0.68,0.23,0.06,2.56,36.9,30.68,6.23,83.13,8.45,23.21,14.23,0.99,24.31,2.62,67.88,37,36,3195,0.2,0.0,0.42,1.69,14.0,1.04,4.14,55.06,4.08,56.2,0.06,22.22
4,288205,Premier League,24/25,Manchester United,Bruno Fernandes,Midfielder,7.62,0.24,0.3,0.3,2.86,0.86,1.07,8.33,0.83,45.9,0.09,0.15,0.0,0.0,0.24,0.09,0.06,0.0,0.09,0.09,100.0,0.06,0.36,16.67,2.5,0.77,0.89,0,1.52,0.03,0.06,0.0,0.0,0.27,0.48,0.3,0.0,2.71,60.12,49.02,11.1,81.53,18.04,32.23,19.26,1.25,22.58,4.79,60.75,36,35,3024,0.09,0.06,0.95,1.19,19.52,1.28,5.18,48.47,4.49,49.19,0.68,44.23
5,856720,Premier League,24/25,Bournemouth,Mark Travers,Goalkeeper,7.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,22.6,14.2,8.4,62.83,8.8,5.4,1.8,0.0,0.0,6.8,45.33,5,5,450,0.0,0.0,0.0,0.2,8.4,0.0,0.4,100.0,0.2,100.0,0.2,100.0
6,886363,Premier League,24/25,Wolverhampton,Matheus Cunha,Forward,7.61,0.52,0.3,0.07,3.81,1.52,1.25,13.64,2.11,50.0,0.35,0.17,0.0,0.07,0.45,0.07,0.28,0.0,0.0,0.0,0.0,0.0,0.42,0.0,1.32,0.59,0.66,0,0.9,0.0,0.0,0.03,0.0,0.1,0.45,0.21,0.03,2.01,32.85,26.07,6.78,79.35,9.28,17.69,10.42,0.9,18.31,1.7,55.68,33,29,2600,0.14,0.0,1.45,2.46,18.03,1.9,6.33,46.45,5.88,48.3,0.45,30.95
7,934235,Premier League,24/25,Arsenal,Bukayo Saka,Forward,7.6,0.31,0.36,0.41,3.48,1.19,0.93,8.96,2.13,52.56,0.31,0.0,0.05,0.21,0.05,0.0,0.36,0.05,0.05,0.05,100.0,0.0,0.05,0.0,1.5,0.16,0.31,0,0.57,0.0,0.0,0.0,0.0,0.1,1.09,0.52,0.16,3.16,31.02,26.14,4.88,84.28,4.41,23.65,16.86,1.92,31.62,0.36,41.18,25,20,1735,0.16,0.0,0.78,2.02,15.2,2.07,6.17,49.17,5.65,51.42,0.52,33.33
8,927083,Premier League,24/25,Brentford,Bryan Mbeumo,Forward,7.47,0.53,0.32,0.24,2.24,1.08,0.61,23.53,1.37,52.53,0.47,0.05,0.0,0.45,0.08,0.03,0.29,0.0,0.16,0.13,83.33,0.0,0.16,0.0,1.29,0.37,1.34,0,0.37,0.03,0.0,0.0,0.0,0.21,0.45,0.18,0.0,1.84,28.78,21.27,7.51,73.9,5.77,16.79,11.1,1.29,24.26,0.79,51.72,38,38,3415,0.08,0.0,0.66,1.16,17.37,1.24,4.72,46.37,3.8,52.17,0.92,31.82
9,1031251,Premier League,24/25,Tottenham Hotspur,Antonín Kinský,Goalkeeper,7.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.5,0,0.0,0.0,0.17,0.0,0.0,0.17,0.17,0.0,0.0,0.17,29.83,21.67,8.17,72.63,20.17,1.5,0.33,0.0,0.0,4.33,36.62,6,6,540,0.0,0.0,0.0,0.0,8.33,0.0,0.83,100.0,0.5,100.0,0.33,100.0
10,971037,Premier League,24/25,Manchester United,Amad Diallo,Forward,7.42,0.38,0.22,0.05,2.22,0.8,0.47,17.02,1.93,48.81,0.38,0.0,0.05,0.24,0.09,0.0,0.42,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.52,0.75,0,0.61,0.0,0.05,0.0,0.0,0.24,0.33,0.28,0.0,2.31,40.28,34.62,5.66,85.95,14.01,21.51,13.92,0.9,45.24,0.61,48.15,26,20,1908,0.24,0.0,0.99,1.32,13.3,1.65,5.52,48.15,5.05,49.08,0.47,40.0
